People,"Population estimates, July 1, 2014,  (V2014)
","Population estimates base, April 1, 2010,  (V2014)
","Population, percent change - April 1, 2010 (estimates base) to July 1, 2014,  (V2014)
","Population estimates, July 1, 2013,  (V2013)","Population estimates base, April 1, 2010,  (V2013)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2013,  (V2013)","Persons under 5 years, percent, July 1, 2013,  (V2013)","Persons under 18 years, percent, July 1, 2013,  (V2013)","Persons 65 years and over, percent,  July 1, 2013,  (V2013)","Female persons, percent,  July 1, 2013,  (V2013)","White alone, percent, July 1, 2013,  (V2013)  (a)","Black or African American alone, percent, July 1, 2013,  (V2013)  (a)","American Indian and Alaska Native alone, percent, July 1, 2013,  (V2013)  (a)","Asian alone, percent, July 1, 2013,  (V2013)  (a)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2013,  (V2013)  (a)","Two or More Races, percent, July 1, 2013,  (V2013)","Hispanic or Latino, percent, July 1, 2013,  (V2013)  (b)","White alone, not Hispanic or Latino, percent, July 1, 2013,  (V2013)","Population, Census, April 1, 2010","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent, April 1, 2010","Female persons, percent, April 1, 2010","White alone, percent, April 1, 2010  (a)","Black or African American alone, percent, April 1, 2010  (a)","American Indian and Alaska Native alone, percent, April 1, 2010  (a)","Asian alone, percent, April 1, 2010  (a)","Native Hawaiian and Other Pacific Islander alone, percent, April 1, 2010  (a)","Two or More Races, percent, April 1, 2010","Hispanic or Latino, percent, April 1, 2010  (b)","White alone, not Hispanic or Latino, percent, April 1, 2010","Housing units,  July 1, 2013,  (V2013)","Housing units, April 1, 2010","Households, 2009-2013","Persons per household, 2009-2013","High school graduate or higher, percent of persons age 25 years+, 2009-2013","Bachelor's degree or higher, percent of persons age 25 years+, 2009-2013","Veterans, 2009-2013","With a disability, under age 65 years, percent, 2009-2013","Living in same house 1 year ago, percent of persons age 1 year+, 2009-2013","Foreign born persons, percent, 2009-2013","Language other than English spoken at home, percent of persons age 5 years+, 2009-2013","In civilian labor force, total, percent of population age 16 years+, 2009-2013","In civilian labor force, female, percent of population age 16 years+, 2009-2013","Mean travel time to work (minutes), workers age 16 years+, 2009-2013","Median household income (in 2013 dollars), 2009-2013","Per capita income in past 12 months (in 2013 dollars), 2009-2013","Owner-occupied housing unit rate, 2009-2013","Median value of owner-occupied housing units, 2009-2013","Median selected monthly owner costs -without a mortgage, 2009-2013","Median gross rent, 2009-2013 ","Persons  without health insurance, under age 65 years, percent","Persons in poverty, percent","Median selected monthly owner costs -with a mortgage, 2009-2013",Businesses,"Total employer establishments, 2012","Total employment, 2012","Total annual payroll, 2012","Total employment, percent change, 2011-2012","Total nonemployer establishments, 2012","All firms, 2007","Men-owned firms, 2007","Women-owned firms, 2007","Minority-owned firms, 2007","Nonminority-owned firms, 2007","Veteran-owned firms, 2007","Nonveteran-owned firms, 2007","Total accommodation and food services sales, 2007 ($1,000)   (c)","Total health care and social assistance receipts/revenue, 2007 ($1,000)   (c)","Total manufacturers shipments, 2007 ($1,000)   (c)","Total merchant wholesaler sales, 2007 ($1,000)      (c)","Total retail sales, 2007 ($1,000)   (c)","Total retail sales per capita, 2007   (c)","Building permits, 2013",Geography,"Population per square mile, 2010 ","Land area in square miles, 2010",FIPS Code
UNITED STATES,318857056,308758105,3.3,316128839,308747716,2.4,6.3,23.3,14.1,50.8,77.7,13.2,1.2,5.3,0.2,2.4,17.1,62.6,308745538,6.5,24.0,13.0,50.8,72.4,12.6,0.9,4.8,0.2,2.9,16.3,63.7,132802859,131704730,115610216,2.63,86.0,28.8,21263779,8.4,84.9,12.9,20.7,63.8,59.0,25.5,53046,28155,64.9,176700,452,904,15.3,14.5,1540,UNITED STATES,7431808,115938468,5414255995,2.2,22735915,27092908,13900554,7792115,5759209,20100926,2447608,22627611,613795732,1668276808,5319456312,4174286516,3917663456,12990,990822,UNITED STATES,87.4,3531905.43,00
Alabama,4849377,4780127,1.4,4833722,4779758,1.1,6.1,23.0,14.9,51.5,69.8,26.6,0.7,1.3,0.1,1.5,4.1,66.4,4779736,6.4,23.7,13.8,51.5,68.5,26.2,0.6,1.1,0.1,1.5,3.9,67.0,2189938,2171853,1838683,2.55,83.1,22.6,388865,11.9,85.0,3.5,5.2,59.0,53.9,24.2,43253,23680,69.7,122500,349,705,15.8,18.7,1160,Alabama,97938(1),1585761(1),61284931(1),0.8(1),315382,382350,204661,107467,70538,298292,45085,306752,6426342,22604858,112858843,52252752,57344851,12364,11763,Alabama,94.4,50645.33,01
Arizona,6731484,6392310,5.3,6626624,6392015,3.7,6.5,24.4,15.4,50.3,84.0,4.6,5.3,3.2,0.3,2.6,30.3,56.7,6392017,7.1,25.5,13.8,50.3,73.0,4.1,4.6,2.8,0.2,3.4,29.6,57.8,2892325,2844526,2370289,2.67,85.7,26.9,522382,7.9,80.4,13.4,26.8,60.3,55.4,24.6,49774,25358,64.4,165100,380,896,20.1,18.6,1439,Arizona,131375(1),2134252(1),90838616(1),1.2(1),413571,491529,219755,138055,85227,372267,48039,391260,13268514,30406787,57977827,57573459,86758801,13637,25209,Arizona,56.3,113594.08,04
Arkansas,2966369,2915958,1.7,2959373,2915916,1.5,6.5,24.0,15.4,50.9,79.9,15.6,1.0,1.5,0.3,1.9,6.9,73.7,2915918,6.8,24.4,14.4,50.9,77.0,15.4,0.8,1.2,0.2,2.0,6.4,74.5,1329681,1316299,1129723,2.53,83.7,20.1,237311,12.3,83.6,4.5,7.2,59.4,54.5,21.3,40768,22170,66.7,107300,321,661,18.8,19.7,1021,Arkansas,64815(1),978519(1),35633588(1),-0.2(1),192746,238994,115411,58572,23637,204047,24842,188808,3559795,13439573,60735582,29659789,32974282,11602,7481,Arkansas,56.0,52035.48,05
California,38802500,37254503,4.2,38332521,37253959,2.9,6.5,23.9,12.5,50.3,73.5,6.6,1.7,14.1,0.5,3.7,38.4,39.0,37253956,6.8,25.0,11.4,50.3,57.6,6.2,1.0,13.0,0.4,4.9,37.6,40.1,13790495,13680081,12542460,2.94,81.2,30.7,1893539,6.6,84.2,27.0,43.7,63.7,57.8,27.2,61094,29527,55.3,366400,483,1224,19.4,16.8,2270,California,864913(1),12952818(1),700102379(1),2(1),2926065,3425510,1685826,1039208,1220581,1995280,239383,2951936,80852787,191605658,491372092,598456486,455032270,12561,80742,California,239.1,155779.22,06
Colorado,5355866,5029324,6.5,5268367,5029196,4.8,6.4,23.5,12.3,49.8,88.0,4.4,1.6,3.0,0.2,2.8,21.0,69.4,5029196,6.8,24.4,10.9,49.9,81.3,4.0,1.1,2.8,0.1,3.4,20.7,70.0,2247238,2212898,1977591,2.53,90.2,37.0,399458,7.1,80.7,9.7,16.8,68.1,63.1,24.5,58433,31109,65.4,236200,411,939,16.0,13.0,1629,Colorado,153112(1),2035803(1),97691175(1),3.2(1),440482,547770,264270,160102,59647,455065,48822,452490,11440395,24328426,46331953,53598986,65896788,13609,27517,Colorado,48.5,103641.89,08
Connecticut,3596677,3574096,0.6,3596080,3574097,0.6,5.3,21.8,15.2,51.2,81.6,11.3,0.5,4.3,0.1,2.1,14.7,69.6,3574097,5.7,22.9,14.2,51.3,77.6,10.1,0.3,3.8,Z,2.6,13.4,71.2,1487982,1487891,1355849,2.55,89.2,36.5,217947,7.0,88.0,13.6,21.5,67.7,63.2,24.8,69461,37892,67.8,278900,821,1056,10.9,10.7,2135,Connecticut,88210(1),1463732(1),84561759(1),1.5(1),261922,332150,189935,93480,39832,276311,31401,277450,9138437,24813183,58404898,107917037,52165480,14953,5424,Connecticut,738.1,4842.36,09
Delaware,935614,897936,4.2,925749,897936,3.1,6.1,22.0,15.9,51.6,71.1,22.1,0.7,3.6,0.1,2.4,8.7,64.1,897934,6.2,22.9,14.4,51.6,68.9,21.4,0.5,3.2,Z,2.7,8.2,65.3,412009,405885,335707,2.63,87.7,28.9,75081,8.8,86.3,8.4,12.6,63.8,60.1,24.8,59878,29819,72.5,235800,443,999,10.6,12.4,1605,Delaware,23861(1),363688(1),18315395(1),1.1(1),56186,74573,38997,19411,11349,57538,7616,58371,1910770,5430938,25679939,5727401,14202083,16421,4827,Delaware,460.8,1948.54,10
Florida,19893297,18804623,5.8,19552860,18802690,4.0,5.5,20.6,18.7,51.1,78.1,16.7,0.5,2.7,0.1,1.9,23.6,56.4,18801310,5.7,21.3,17.3,51.1,75.0,16.0,0.4,2.4,0.1,2.5,22.5,57.9,9047612,8989580,7158980,2.61,86.1,26.4,1569406,8.4,83.7,19.4,27.4,59.7,55.6,25.9,46956,26236,67.1,160200,473,990,24.2,17.0,1530,Florida,502414(1),6932382(1),280304784(1),3(1),1775605,2009589,1036446,581096,680069,1228495,176788,1685712,41922059,102029316,104832907,221641518,262341127,14353,86752,Florida,350.6,53624.76,12
Georgia,10097343,9688681,4.2,9992167,9687663,3.1,6.7,24.9,12.0,51.1,62.5,31.4,0.5,3.7,0.1,1.9,9.2,54.8,9687653,7.1,25.7,10.7,51.2,59.7,30.5,0.3,3.2,0.1,2.1,8.8,55.9,4109896,4088801,3518097,2.71,84.7,28.0,690208,8.6,83.6,9.7,13.3,63.2,58.6,27.0,49179,25182,65.1,151300,389,860,21.2,19.0,1411,Georgia,216308(1),3390540(1),149290810(1),1.9(1),797404,901105,475361,278290,263356,603039,97657,742656,16976235,43942996,144280774,141962359,117516907,12326,36174,Georgia,168.4,57513.49,13
Idaho,1634464,1567652,4.3,1612136,1567652,2.8,7.0,26.5,13.8,49.9,93.7,0.8,1.7,1.4,0.2,2.2,11.8,83.1,1567582,7.8,27.4,12.4,49.9,89.1,0.6,1.4,1.2,0.1,2.5,11.2,84.0,676192,667796,579797,2.68,88.8,25.1,122955,8.7,82.8,5.9,10.4,63.5,57.8,20.0,46767,22568,69.8,162100,336,728,18.6,15.6,1231,Idaho,42899(1),493786(1),17605429(1),2.3(1),114707,151671,61390,35595,6815,136135,11808,119969,2415951,6211011,18010976,14286715,20526631,13691,8110,Idaho,19.0,82643.12,16
Illinois,12880580,12831587,0.4,12882135,12830632,0.4,6.2,23.5,13.5,50.9,77.7,14.7,0.6,5.1,0.1,1.8,16.5,62.7,12830632,6.5,24.4,12.5,51.0,71.5,14.5,0.3,4.6,Z,2.3,15.8,63.7,5289423,5296715,4772723,2.63,87.3,31.4,727919,6.9,86.8,13.8,22.3,66.2,61.3,28.0,56797,29666,67.5,182300,561,890,14.5,14.7,1701,Illinois,314199(1),5119826(1),255694139(1),1.6(1),921272,1123817,578656,343073,223007,850476,80620,965912,25469026,70042857,257760713,231082768,165450520,12947,15545,Illinois,231.1,55518.93,17
Indiana,6596855,6484192,1.7,6570902,6483797,1.3,6.4,24.1,13.9,50.7,86.3,9.5,0.4,1.9,0.1,1.8,6.4,80.7,6483802,6.7,24.8,13.0,50.8,84.3,9.1,0.3,1.6,Z,2.0,6.0,81.5,2809447,2795541,2481793,2.55,87.2,23.2,455105,9.4,84.9,4.7,8.2,64.3,59.4,23.2,48248,24635,70.0,122800,370,730,16.1,15.9,1134,Indiana,143974(1),2512908(1),99677281(1),3(1),387735,482847,244017,129609,40706,421127,46771,395537,11669759,34768407,221877814,67634947,78745589,12408,17950,Indiana,181.0,35826.11,18
Iowa,3107126,3046869,2.0,3090416,3046857,1.4,6.3,23.4,15.6,50.4,92.5,3.3,0.5,2.0,0.1,1.6,5.5,87.6,3046355,6.6,23.9,14.9,50.5,91.3,2.9,0.4,1.7,0.1,1.8,5.0,88.7,1349617,1336417,1226547,2.42,91.0,25.7,226175,7.8,84.8,4.5,7.2,68.1,63.8,18.8,51843,27027,72.2,124300,420,670,9.5,12.7,1178,Iowa,80649(1),1293694(1),48946464(1),2.4(1),203701,259931,120029,66238,8129,239103,23867,209613,4737719,15371567,97592051,41068338,39234649,13172,10877,Iowa,54.5,55857.13,19
Kansas,2904021,2853132,1.8,2893957,2853116,1.4,6.9,25.0,14.0,50.2,87.1,6.2,1.2,2.7,0.1,2.7,11.2,77.1,2853118,7.2,25.5,13.2,50.4,83.8,5.9,1.0,2.4,0.1,3.0,10.5,78.2,1239706,1233215,1110440,2.51,89.8,30.3,211113,8.5,83.2,6.7,11.0,67.1,62.7,19.0,51332,26929,67.5,128400,440,732,14.2,14.0,1290,Kansas,73944(1),1134216(1),45608072(1),1.9(1),188168,237040,105315,65174,18249,206486,22898,188892,4192347,15128745,76751828,45863865,34538332,12444,8285,Kansas,34.9,81758.72,20
Kentucky,4413457,4339349,1.7,4395295,4339357,1.3,6.3,23.1,14.4,50.8,88.5,8.2,0.3,1.3,0.1,1.7,3.3,85.6,4339367,6.5,23.6,13.3,50.8,87.8,7.8,0.2,1.1,0.1,1.7,3.1,86.3,1936565,1927164,1694996,2.50,83.0,21.5,312365,12.8,84.8,3.3,5.0,59.6,55.3,22.8,43036,23462,68.4,120400,329,655,16.6,18.8,1123,Kentucky,89795(1),1481323(1),56039216(1),1.2(1),275230,337600,174156,86401,20221,304358,31467,277687,6300866,22151809,119105421,74680759,50405925,11843,8955,Kentucky,109.9,39486.34,21
Louisiana,4649676,4533479,2.6,4625470,4533372,2.0,6.7,24.1,13.3,51.1,63.5,32.4,0.8,1.7,0.1,1.5,4.7,59.6,4533372,6.9,24.7,12.3,51.0,62.6,32.0,0.7,1.5,Z,1.6,4.2,60.3,1990835,1964981,1707852,2.60,82.6,21.8,304271,11.0,85.8,3.9,8.7,61.1,56.7,24.9,44874,24442,67.0,138900,318,773,18.9,19.8,1201,Louisiana,104059(1),1644282(1),68864331(1),1.7(1),345755,375808,188952,102849,83279,275944,38286,306789,9729869,23685380,205054723,51415553,56543203,12921,14015,Louisiana,104.9,43203.90,22
Maine,1330089,1328361,0.1,1328302,1328361,Z,4.9,19.7,17.7,51.0,95.2,1.4,0.7,1.1,Z,1.6,1.4,94.0,1328361,5.2,20.7,15.9,51.1,95.2,1.2,0.6,1.0,Z,1.6,1.3,94.4,723128,721830,553823,2.33,91.1,27.9,126842,11.5,86.4,3.4,6.8,64.1,60.7,23.3,48453,26824,71.8,174500,467,764,13.5,14.0,1345,Maine,40120(1),486838(1),18486234(1),1.5(1),110117,150389,78603,38486,3392,141001,15946,121221,2515827,8592397,16363192,8823719,20444031,15520,3427(1),Maine,43.1,30842.92,23
Maryland,5976407,5773785,3.5,5928814,5773623,2.7,6.2,22.7,13.4,51.5,60.5,30.1,0.6,6.1,0.1,2.6,9.0,53.3,5773552,6.3,23.4,12.3,51.6,58.2,29.4,0.4,5.5,0.1,2.9,8.2,54.7,2404012,2378814,2146240,2.65,88.7,36.8,427068,7.0,86.7,14.0,16.7,68.6,64.9,32.0,73538,36354,67.6,292700,582,1196,11.5,10.1,2037,Maryland,134305(1),2152458(1),105889051(1),2.3(1),442314,528112,269690,172083,164130,339940,54039,438343,10758428,33826636,41456097,51276797,75664186,13429,17918,Maryland,594.8,9707.24,24
